Day;Date;Weigth;Steps;Walk (min);Swimming (min);other sports (min);Spent kcal;GPS country
Th;10/11/2016;70,3;568;6;0;0;21;33
F;11/11/2016;70,2;9543;92;0;1;394;33
Sa;12/11/2016;70,2;2670;24;0;0;107;33
Su;13/11/2016;70,3;;7;0;0;30;33
M;14/11/2016;70,4;11704;101;0;1;492;33
Tu;15/11/2016;70,5;9503;86;35;1;667;33
W;16/11/2016;70,5;6628;60;0;0;283;33
Th;17/11/2016;70,5;11575;108;0;1;499;33
F;18/11/2016;70,3;219;2;0;0;8;33
Sa;19/11/2016;70,4;12477;121;0;0;509;33
Su;20/11/2016;70,4;34;30;0;0;37;33
M;21/11/2016;70,5;5952;56;0;0;263;33
Tu;22/11/2016;70,6;6970;64;35;1;563;33
W;23/11/2016;70,6;135;1;0;0;5;33
Th;24/11/2016;70,7;4008;36;0;0;164;33
F;25/11/2016;70,6;5125;48;0;0;217;33
Sa;26/11/2016;70;13066;126;0;0;541;33
Su;27/11/2016;70,1;996;9;0;0;40;33
M;28/11/2016;70,4;6274;55;0;0;281;33
Tu;29/11/2016;70,5;7998;73;0;1;351;33
W;30/11/2016;70,6;5551;51;0;0;244;33
Th;01/12/2016;70,7;14087;130;0;1;598;33
F;02/12/2016;70,8;6160;60;0;0;268;33
Sa;03/12/2016;70,9;9618;94;0;0;391;33
Su;04/12/2016;70,8;2346;21;0;0;96;33
M;05/12/2016;70,9;10991;106;0;0;466;33
Tu;06/12/2016;70,9;10001;98;0;1;412;33
W;07/12/2016;71;4806;44;0;0;211;33
Th;08/12/2016;71,3;6222;55;0;1;289;33
F;09/12/2016;71,5;7568;71;0;1;334;33
Sa;10/12/2016;71,6;9990;90;0;1;425;33
Su;11/12/2016;71,7;30;2;0;0;10;33
M;12/12/2016;71,5;5557;53;0;0;243;33
Tu;13/12/2016;71,2;17255;168;0;1;702;33
W;14/12/2016;70,8;11241;102;0;1;481;33
Th;15/12/2016;71,2;7492;70;0;1;331;33
F;16/12/2016;71,9;5854;55;0;0;253;33
Sa;17/12/2016;72;8238;78;0;0;344;33
Su;18/12/2016;71,9;10014;96;0;0;417;33
M;19/12/2016;71,9;5288;56;0;0;218;212
Tu;20/12/2016;70,6;4816;49;0;0;204;212
W;21/12/2016;70,5;867;64;0;0;277;212
Th;22/12/2016;71,4;190;2;0;0;7;212
F;23/12/2016;71,3;170;1;0;0;5;212
Sa;24/12/2016;71,3;2480;24;0;0;108;33
Su;25/12/2016;71,7;2147;22;0;0;95;33
M;26/12/2016;71,2;4611;42;0;0;193;33
Tu;27/12/2016;71,8;9321;87;0;1;389;33
W;28/12/2016;71,6;5315;50;0;0;218;33
Th;29/12/2016;71,2;5089;46;0;0;217;33
F;30/12/2016;71,1;3114;30;0;0;126;33
Sa;31/12/2016;71,4;3498;32;0;0;153;33
Su;01/01/2017;71,2;4175;37;0;1;177;33
M;02/01/2017;70,9;2229;19;0;0;89;33
Tu;03/01/2017;71,1;4871;46;0;0;216;33
W;04/01/2017;71,2;6378;61;0;0;281;33
Th;05/01/2017;71,4;11867;112;0;1;495;33
F;06/01/2017;71,4;8128;78;0;1;358;33
Sa;07/01/2017;71,6;14654;133;0;3;624;33
Su;08/01/2017;71,7;6601;60;0;0;278;33
M;09/01/2017;71,8;7316;70;0;1;322;33
Tu;10/01/2017;71,7;5429;49;0;0;242;33
W;11/01/2017;71,6;5768;53;0;0;250;33
Th;12/01/2017;71,5;5617;53;0;0;256;33
F;13/01/2017;71,7;5747;55;0;0;252;33
Sa;14/01/2017;71,6;6600;64;0;1;272;33
Su;15/01/2017;71,9;7094;65;0;1;296;33
M;16/01/2017;71,5;7629;70;0;1;339;33
Tu;17/01/2017;71,7;4914;43;0;1;223;33
W;18/01/2017;71,8;7545;68;0;1;311;33
Th;19/01/2017;71,8;6609;58;0;1;297;33
F;20/01/2017;71,8;6029;56;0;1;266;33
Sa;21/01/2017;71,9;120;2;0;0;7;33
Su;22/01/2017;71,8;5839;54;0;1;255;33
M;23/01/2017;71,7;5923;54;0;0;254;33
Tu;24/01/2017;71,5;5902;55;0;0;262;33
W;25/01/2017;71,7;16066;155;0;2;679;33
Th;26/01/2017;71,9;7846;73;0;0;341;33
F;27/01/2017;72;4988;45;0;0;219;33
Sa;28/01/2017;72,1;8839;83;0;1;363;33
Su;29/01/2017;71,8;823;7;0;0;33;33
M;30/01/2017;71,7;5099;46;0;0;209;33
Tu;31/01/2017;71,6;9705;86;0;2;423;33
W;01/02/2017;71,7;6296;62;0;0;300;33
Th;02/02/2017;71,8;5422;49;0;0;239;33
F;03/02/2017;72;5182;48;0;0;216;33
Sa;04/02/2017;72;7481;69;0;1;324;33
Su;05/02/2017;71,9;905;8;0;0;36;33
M;06/02/2017;71,9;5175;48;0;0;231;33
Tu;07/02/2017;72;8380;75;40;1;670;33
W;08/02/2017;71,8;7303;67;0;0;316;33
Th;09/02/2017;71,8;5383;49;0;1;243;33
F;10/02/2017;71,6;7165;66;0;0;321;33
Sa;11/02/2017;71,9;11320;103;0;1;470;33
Su;12/02/2017;71,7;791;7;0;0;32;33
M;13/02/2017;71,6;4391;38;0;0;184;33
Tu;14/02/2017;72;8916;81;40;1;691;33
W;15/02/2017;71,9;5897;56;0;0;253;33
Th;16/02/2017;71,7;8326;77;0;1;350;33
F;17/02/2017;72;5069;47;0;1;174;33
Sa;18/02/2017;71,8;12092;118;0;0;485;33
Su;19/02/2017;71,9;1433;12;0;0;60;33
M;20/02/2017;72;5333;49;0;0;241;33
Tu;21/02/2017;72;6750;64;0;1;291;33
W;22/02/2017;71,8;7178;68;0;1;311;33
Th;23/02/2017;71,8;5105;46;0;0;229;33
F;24/02/2017;71,6;7574;68;0;0;327;33
Sa;25/02/2017;71,6;4229;38;0;0;179;33
Su;26/02/2017;71,8;12163;117;0;0;499;33
M;27/02/2017;71,7;0;0;0;0;0;33
Tu;28/02/2017;72;5805;53;0;0;261;33
W;01/03/2017;71,7;8602;80;0;1;391;33
Th;02/03/2017;71,7;5228;49;0;0;230;33
F;03/03/2017;71,7;7872;78;0;1;353;33
Sa;04/03/2017;71,8;167;1;0;0;7;33
Su;05/03/2017;72;5261;47;0;0;216;33
M;06/03/2017;72,4;9635;89;0;1;421;33
Tu;07/03/2017;71,7;5254;49;0;0;235;33
W;08/03/2017;72,3;5653;53;0;0;245;33
Th;09/03/2017;72,3;20578;56;0;1;265;33
F;10/03/2017;71,6;8316;79;0;1;362;33
Sa;11/03/2017;71,7;19289;185;40;1;1124;33
Su;12/03/2017;71,9;806;7;0;0;32;33
M;13/03/2017;72,26;5108;49;0;0;229;33
Tu;14/03/2017;72,5;8664;81;0;0;367;33
W;15/03/2017;72,3;4542;41;0;0;206;33
Th;16/03/2017;72,1;7919;74;0;1;345;33
F;17/03/2017;71,9;6901;62;0;0;304;33
Sa;18/03/2017;71,9;14737;135;0;1;631;33
Su;19/03/2017;72;4590;41;0;0;190;33
M;20/03/2017;71,7;9791;92;0;0;408;33
Tu;21/03/2017;72,1;5140;47;0;1;228;33
W;22/03/2017;71,8;10772;100;0;2;481;33
Th;23/03/2017;71,7;7869;73;0;0;346;33
F;24/03/2017;71,9;7339;70;0;1;325;33
Sa;25/03/2017;71,9;8801;82;0;1;375;33
Su;26/03/2017;72,5;9517;88;0;0;397;33
M;27/03/2017;72,2;11409;104;0;2;480;33
Tu;28/03/2017;72,7;6531;59;0;1;277;33
W;29/03/2017;72,6;9789;82;0;1;379;33
Th;30/03/2017;72,8;6393;60;0;1;278;33
F;31/03/2017;72,7;12563;116;0;2;547;33
Sa;01/04/2017;72,7;14296;137;0;1;586;33
Su;02/04/2017;72,0;1089;10;0;0;43;33
M;03/04/2017;72,7;8308;78;0;0;349;33
Tu;04/04/2017;72,5;8100;74;0;0;342;33
W;05/04/2017;72,0;10486;97;0;1;454;33
Th;06/04/2017;71,9;8205;79;0;0;359;33
F;07/04/2017;72,7;5356;52;0;0;235;33
Sa;08/04/2017;72,2;15832;152;40;1;950;33
Su;09/04/2017;73,5;12225;11;0;0;49;33
M;10/04/2017;72,8;6450;59;0;1;287;33
Tu;11/04/2017;72,3;6042;59;0;0;268;33
W;12/04/2017;73,6;6139;58;0;0;265;33
Th;13/04/2017;72,4;5945;56;0;1;269;33
F;14/04/2017;73,7;5377;51;0;0;217;33
Sa;15/04/2017;73,9;10565;97;0;0;435;33
Su;16/04/2017;72,8;6689;62;0;1;289;33
M;17/04/2017;73,8;5304;51;0;0;230;33
Tu;18/04/2017;73,3;5895;55;0;1;265;33
W;19/04/2017;73,7;6140;57;0;0;264;33
Th;20/04/2017;73,6;9729;90;0;1;439;33
F;21/04/2017;74,2;8294;78;0;1;363;33
Sa;22/04/2017;75,1;17244;164;40;2;1013;33
Su;23/04/2017;74,6;1154;10;0;0;48;33
M;24/04/2017;73,8;4836;44;0;0;198;33
Tu;25/04/2017;74,8;5317;49;0;1;235;33
W;26/04/2017;74,2;6604;60;0;1;292;33
Th;27/04/2017;73,0;6063;53;0;0;256;33
F;28/04/2017;73,4;6075;58;0;0;256;33
Sa;29/04/2017;74,4;21535;213;0;2;890;33
Su;30/04/2017;74,9;10004;96;0;0;408;33
M;01/05/2017;74,7;1428;12;0;0;65;33
Tu;02/05/2017;72,4;8812;82;0;0;380;33
W;03/05/2017;73,7;8097;76;0;0;368;33
Th;04/05/2017;74,5;6484;62;0;0;277;33
F;05/05/2017;74,1;8534;82;0;1;374;33
Sa;06/05/2017;73,4;8877;82;40;1;668;33
Su;07/05/2017;72,5;9659;89;0;1;402;33
M;08/05/2017;74,0;1012;9;0;0;41;33
Tu;09/05/2017;75,1;5691;53;0;1;254;33
W;10/05/2017;75,0;7900;75;0;0;348;33
Th;11/05/2017;74,4;12916;118;0;2;564;33
F;12/05/2017;74,9;11409;108;0;0;491;33
Sa;13/05/2017;74,2;9504;97;0;0;393;33
Su;14/05/2017;74,1;1047;9;0;0;42;33
M;15/05/2017;72,8;5780;52;0;1;265;33
Tu;16/05/2017;74,8;7912;72;0;0;332;33
W;17/05/2017;74,1;7334;67;0;2;325;33
Th;18/05/2017;72,9;4223;38;0;0;182;33
F;19/05/2017;73,8;9284;91;0;1;402;33
Sa;20/05/2017;73,8;18075;177;45;1;1079;33
Su;21/05/2017;72,9;5419;52;0;0;226;33
M;22/05/2017;72,0;7595;70;0;2;341;33
Tu;23/05/2017;72,0;7860;76;0;0;338;33
W;24/05/2017;72,8;6809;61;0;1;298;33
Th;25/05/2017;72,5;12686;122;0;1;528;33
F;26/05/2017;73,1;12872;125;0;2;562;33
Sa;27/05/2017;72,0;18864;186;30;1;1005;33
Su;28/05/2017;72,9;5603;49;0;0;237;33
M;29/05/2017;72,3;7337;70;0;0;320;33
Tu;30/05/2017;72,4;5926;56;0;0;259;33
W;31/05/2017;73,1;5754;55;0;0;253;33
Th;01/06/2017;72,5;7227;68;0;1;319;33
F;02/06/2017;72,2;8427;78;0;1;379;33
Sa;03/06/2017;72,1;9909;91;40;1;716;33
Su;04/06/2017;72,5;10658;102;0;2;448;33
M;05/06/2017;72,1;6223;52;0;2;303;33
Tu;06/06/2017;72,1;6805;62;0;1;298;33
W;07/06/2017;73,2;5238;49;0;1;233;33
Th;08/06/2017;73,9;9057;87;0;1;397;33
F;09/06/2017;74,2;6004;57;0;0;261;33
Sa;10/06/2017;74,6;14746;140;40;2;943;33
Su;11/06/2017;73,7;2275;16;0;4;130;33
M;12/06/2017;73,5;3632;34;0;0;146;33
Tu;13/06/2017;74,0;8785;81;0;1;379;33
W;14/06/2017;74,8;7788;71;0;1;335;33
Th;15/06/2017;74,1;10685;105;0;0;448;33
F;16/06/2017;74,2;7344;69;0;1;322;33
Sa;17/06/2017;74,2;9048;82;0;5;416;33
Su;18/06/2017;73,4;8547;85;0;3;387;33
M;19/06/2017;74,2;5707;51;0;0;245;33
Tu;20/06/2017;73,5;8443;76;35;1;643;33
W;21/06/2017;73,7;7749;72;0;1;349;33
Th;22/06/2017;74,6;10153;88;0;8;497;33
F;23/06/2017;73,4;8300;80;0;0;344;33
Sa;24/06/2017;74,0;19340;176;40;6;1143;33
Su;25/06/2017;73,2;13744;124;0;3;582;33
M;26/06/2017;74,4;8710;83;0;0;369;33
Tu;27/06/2017;74,2;10148;99;0;1;446;33
W;28/06/2017;74,0;12764;124;0;1;530;39
Th;29/06/2017;73,6;19248;183;0;9;968;39
F;30/06/2017;73,4;35751;282;0;44;1857;39
Sa;01/07/2017;73,5;25529;234;0;16;1281;39
Su;02/07/2017;74,3;17868;175;0;1;735;39
M;03/07/2017;74,7;8724;80;0;1;378;33
Tu;04/07/2017;74,8;8314;75;0;1;364;33
W;05/07/2017;74,2;9545;85;40;1;726;33
Th;06/07/2017;74,2;5007;43;0;223;1807;33
F;07/07/2017;74,2;6248;57;0;0;272;33
Sa;08/07/2017;74;19402;186;0;2;822;33
Su;09/07/2017;74,1;2611;24;0;0;108;33
M;10/07/2017;74,2;5343;52;0;0;233;33
Tu;11/07/2017;74,3;8115;75;0;0;358;33
W;12/07/2017;74,2;11332;105;0;1;498;33
Th;13/07/2017;74,1;11012;99;0;2;460;33
F;14/07/2017;74;16043;152;0;2;674;33
Sa;15/07/2017;73,9;18826;179;0;3;785;33
Su;16/07/2017;73,8;1401;13;0;0;62;33
M;17/07/2017;74,2;4699;43;0;0;216;33
Tu;18/07/2017;74,1;5868;54;0;1;255;33
W;19/07/2017;74,1;9433;88;0;1;418;33
Th;20/07/2017;74,3;5398;52;0;0;236;33
F;21/07/2017;75,1;7615;69;0;11;412;33
Sa;22/07/2017;75,3;18668;183;0;1;784;33
Su;23/07/2017;75,1;16881;162;0;11;800;33
M;24/07/2017;75,0;9617;91;40;16;824;33
Tu;25/07/2017;74,2;8504;80;0;16;467;33
W;26/07/2017;74,4;14986;135;35;3;933;33
Th;27/07/2017;75,1;7834;73;0;15;435;33
F;28/07/2017;74,3;7619;70;0;14;413;33
Sa;29/07/2017;75,3;8229;78;0;16;455;33
Su;30/07/2017;74,9;6857;68;0;11;354;33
M;31/07/2017;74,2;6243;58;0;9;335;33
Tu;01/08/2017;74,4;8183;76;0;1;360;33
W;02/08/2017;75,2;6762;61;0;16;393;33
Th;03/08/2017;74,1;7848;77;0;1;336;33
F;04/08/2017;74,9;18112;161;0;2;770;33
Sa;05/08/2017;75,3;6623;60;0;2;321;33
